pM,M,effective_oil_price,oil,electricity
5.0,48.75746790601308,3.4913072697280736,98.40923598178642,134.55865134008835
5.1923076923076925,48.28038246216347,3.5858213735091207,98.05827691233902,134.97257862077933
5.384615384615385,47.66739967927365,3.6802737197494797,97.72098796374848,135.38100676400543
5.576923076923077,46.88752505425292,3.774416129808205,97.3973564126008,135.7830704796675
5.769230769230769,45.92120765268678,3.867761835384694,97.08809757095497,136.1769431910809
5.961538461538462,44.767938262686954,3.9596055453286105,96.79446867261518,136.55997388685702
6.153846153846154,43.451368092383504,4.049126801709426,96.51786990952588,136.92915186243883
6.346153846153847,42.019739372418826,4.1355597434312354,96.25933333801032,137.2818057632213
6.538461538461538,40.54058617040739,4.218378920368271,96.01906448470737,137.61632127275612
6.730769230769231,39.09046292094651,4.297435407783066,95.7961984759667,137.93262193844365
6.923076923076923,37.74218092806384,4.372991030474581,95.58885956336493,138.2322300556056
7.115384615384615,36.55292045752077,4.445637483638458,95.39449996388036,138.51788456032517
7.307692307692308,35.55622161781613,4.5161330110483195,95.21039160885857,138.7928655265564
7.5,34.75939809307118,4.585219685433445,95.03409668685529,139.060278200006
7.6923076923076925,34.14602471385093,4.6534851948278115,94.86376952633499,139.32253809571858
7.884615384615385,33.681647908620384,4.721306284819581,94.6982269253673,139.58118587744352
8.076923076923077,33.32033691766026,4.788871787584224,94.53682398672422,139.83700785446106
8.26923076923077,33.01021666806585,4.856250399430924,94.37924226836728,140.0903174766113
8.461538461538462,32.697312059444634,4.9234551977631265,94.22531085905894,140.34121217535707
8.653846153846153,32.32826539910317,4.990466258177339,94.07494170931935,140.58966446534086
8.846153846153847,31.85319627552495,5.0571985733541975,93.92819153325627,140.83540844912415
9.038461538461538,31.229854950903196,5.123433522940158,93.78539419288977,141.0776978238431
9.23076923076923,30.42933273338359,5.188755731696361,93.64726670296841,141.3150925010798
9.423076923076923,29.44232949960414,5.252542659982861,93.51489582722249,141.54544214204617
9.615384615384617,28.283940277510467,5.314037010424604,93.38956138096378,141.76616444526513
9.807692307692308,26.994680877710177,5.3724968519708565,93.27242757556469,141.97478702857356
10.0,25.63629052165296,5.427379963607015,93.1642011092499,142.16958990935242
10.192307692307693,24.282500909919083,5.478496324914202,93.06488123189871,142.3501162913191
10.384615384615385,23.00677934612465,5.526069252482249,92.97369830680722,142.517352793826
10.576923076923077,21.870230243935893,5.570680308675406,92.88926581574893,142.67350588770765
10.76923076923077,20.91283153633965,5.613119480630072,92.80988915043936,142.82146027852815
10.961538461538462,20.149996523861383,5.654197476375058,92.73391976483097,142.9641211766399
11.153846153846153,19.57463508446284,5.694585137390914,92.66003837411314,143.1038642550457
11.346153846153847,19.163231411437675,5.734725033393838,92.58739331875586,143.24224387004978
11.53846153846154,18.883584354136097,5.77482558269488,92.51558558497112,143.3799888152812
11.73076923076923,18.701954262788625,5.814916773205685,92.44454701263761,143.5172077761826
11.923076923076923,18.58816283758616,5.854931437743931,92.37438149463648,143.65367712139542
12.115384615384617,18.518212165198214,5.894779014712686,92.30522881348274,143.78909699605492
12.307692307692308,18.47479554080574,5.934392955202983,92.23718179880446,143.92325287361655
12.5,18.446463706270162,5.973748813084402,92.17025809567777,144.05607496246475
